,Name,State,Category,Policy/Incentive Type,URL,Created,Last Updated
330,Low Income Home Energy Assistance Program (LIHEAP),US,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/5712/low-income-home-energy-assistance-program-liheap,03/16/2015,11/18/2022
331,Columbia Rural Electric Association - Residential Energy Efficiency Rebate Program,WA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3231/columbia-rural-electric-association-residential-energy-efficiency-rebate-program,01/26/2009,11/10/2022
332,Residential Energy Efficiency Tax Credit,US,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/1274/residential-energy-efficiency-tax-credit,01/10/2006,11/08/2022
333,Solar Energy Gross Receipts Tax Deduction,NM,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2566/solar-energy-gross-receipts-tax-deduction,05/25/2007,11/08/2022
334,Sustainable Electric Utility (SEU)- SREC Purchase Program,DE,Financial Incentive,Solar Renewable Energy Credit Program,https://programs.dsireusa.org/system/program/detail/5689/sustainable-electric-utility-seu-srec-purchase-program,02/20/2015,11/02/2022
335,U.S. Virgin Islands - Net Energy Billing (NEB) Program,VI,Financial Incentive,Performance-Based Incentive,https://programs.dsireusa.org/system/program/detail/5495/u-s-virgin-islands-net-energy-billing-neb-program,06/24/2014,11/01/2022
336,Custom Renewable Energy Projects,OR,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/709/custom-renewable-energy-projects,11/22/2002,10/13/2022
337,Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2124/carteret-craven-electric-cooperative-residential-energy-efficiency-rebate-program,09/05/2006,10/07/2022
338,NY Green Bank,NY,Financial Incentive,Other Incentive,https://programs.dsireusa.org/system/program/detail/5539/ny-green-bank,09/02/2014,10/03/2022
339,Portfolio Energy Credits,NV,Financial Incentive,Performance-Based Incentive,https://programs.dsireusa.org/system/program/detail/1036/portfolio-energy-credits,10/29/2003,10/03/2022
340,DHCD- Multifamily Energy Efficiency and Housing Affordability Program,MD,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/5809/dhcd-multifamily-energy-efficiency-and-housing-affordability-program,07/21/2015,09/23/2022
341,Solar Renewable Energy Certificates Program (SRECs),OH,Financial Incentive,Solar Renewable Energy Credit Program,https://programs.dsireusa.org/system/program/detail/5668/solar-renewable-energy-certificates-program-srecs,02/05/2015,09/19/2022
342,Renewable Energy Property Tax Exemption,IN,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/54/renewable-energy-property-tax-exemption,01/01/2000,09/12/2022
343,California Clean Fuel Reward,CA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22152/california-clean-fuel-reward,05/21/2021,09/07/2022
344,PEPCO - Residential Energy Efficiency Rebate Program,MD,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3745/pepco-residential-energy-efficiency-rebate-program,10/28/2009,09/04/2022
345,Delmarva Power - Residential Energy Efficiency Rebate Program,MD,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3744/delmarva-power-residential-energy-efficiency-rebate-program,10/28/2009,09/04/2022
346,SMECO - Residential Energy Efficiency Rebate Program,MD,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3574/smeco-residential-energy-efficiency-rebate-program,08/05/2009,09/04/2022
347,Northern Lights Inc. - Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4198/northern-lights-inc-energy-conservation-rebate-program,06/08/2010,09/04/2022
348,Intermountain Gas Company (IGC) - Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1653/intermountain-gas-company-igc-energy-efficiency-rebate-program,06/23/2006,09/04/2022
349,Columbia River PUD - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3392/columbia-river-pud-residential-energy-efficiency-rebate-programs,05/21/2009,09/04/2022
350,Emerald PUD - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2132/emerald-pud-residential-energy-efficiency-rebate-program,09/07/2006,09/04/2022
351,Emerald PUD - Residential Energy Efficiency Loan Programs,OR,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/1232/emerald-pud-residential-energy-efficiency-loan-programs,09/07/2006,09/04/2022
352,OTEC - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2316/otec-residential-energy-efficiency-rebate-program,09/29/2006,09/04/2022
353,Forest Grove Light & Power - Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2155/forest-grove-light-power-energy-efficiency-rebate-programs,09/13/2006,09/04/2022
354,McMinnville Water and Light - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3963/mcminnville-water-and-light-residential-energy-efficiency-rebate-program,02/09/2010,09/04/2022
355,McMinnville Water & Light - Conservation Service Loan Program,OR,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/3213/mcminnville-water-light-conservation-service-loan-program,01/13/2009,09/03/2022
356,Plug-In Electric Drive Vehicle Tax Credit,US,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22352/plug-in-electric-drive-vehicle-tax-credit,08/18/2021,08/29/2022
357,Tacoma Power - Residential Energy Efficiency Rebate Program,WA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3176/tacoma-power-residential-energy-efficiency-rebate-program,12/11/2008,08/26/2022
358,Indianapolis Power & Light - Business Energy Incentives Program,IN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4365/indianapolis-power-light-business-energy-incentives-program,09/30/2010,08/26/2022
359,Previously-Owned Clean Vehicle Tax Credit,US,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22476/previously-owned-clean-vehicle-tax-credit,08/26/2022,08/26/2022
360,Clean-Burning Wood Stove Grant Program,MD,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5303/clean-burning-wood-stove-grant-program,09/13/2012,08/25/2022
361,Norwich Public Utilities - Commercial Energy Efficiency Rebate Program,CT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3111/norwich-public-utilities-commercial-energy-efficiency-rebate-program,11/04/2008,08/23/2022
362,Austin Utilities (Gas and Electric) - Residential Conserve and Save Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1935/austin-utilities-gas-and-electric-residential-conserve-and-save-rebate-program,08/07/2006,08/18/2022
363,Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),US,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22475/alternative-fuel-vehicle-refueling-property-tax-credit-personal,08/18/2022,08/18/2022
